entrezgene	code	Gene	logFC	adjP
22417	L	Wnt4	1.418822867	3.91E-08
22418	L	Wnt5a	0.00377694	0.991951845
22419	L	Wnt5b	-0.020867362	0.903143414
22422	L	Wnt7b	-0.086397702	0.64106903
20377	L	Sfrp1	4.767627626	1.26E-41
50781	L	Dkk3	1.815792869	6.04E-20
14362	L	Fzd1	0.878481632	1.02E-05
57265	L	Fzd2	-0.071318873	0.801805327
14365	L	Fzd3	-2.368787234	1.22E-08
14366	L	Fzd4	-0.333707458	0.187459067
14367	L	Fzd5	0.689636999	5.20E-05
14368	L	Fzd6	0.299076184	0.370297454
14369	L	Fzd7	1.782528635	6.73E-13
14370	L	Fzd8	0.142563507	0.618423264
16835	L	Ldlr	1.249346547	5.21E-05
16974	L	Lrp6	0.532874189	0.264950115
18750	L	Prkca	0.184481112	0.594869277
18751	L	Prkcb	0.046595867	0.717647418
18753	L	Prkcd	0.472908101	0.211564932
18754	L	Prkce	-0.228427429	0.507095081
18759	L	Prkci	1.55509529	3.14E-06
18755	L	Prkch	0.49355118	0.004365137
18760	L	Prkd1	0.497865638	0.060834905
18762	L	Prkcz	-0.265840672	0.371567374
13542	L	Dvl1	-0.138318555	0.616581766
13544	L	Dvl3	-1.255239314	0.006266977
26932	L	Ppp2r5e	0.222073947	0.668432214
26931	L	Ppp2r5c	-0.469869521	0.459874437
12005	L	Axin1	-0.024612335	0.953512066
12006	L	Axin2	-0.138762946	0.568608155
14296	L	Frat1	-0.25496394	0.617016969
11848	L	Rhoa	0.077955354	0.850371017
26934	L	Racgap1	-1.391739076	8.78E-07
26420	L	Mapk9	-0.551614129	0.070192797
26414	L	Mapk10	-1.658073001	1.17E-09
27373	L	Csnk1e	-1.228443959	0.000240478
56637	L	Gsk3b	-1.44969393	9.35E-14
11789	L	Apc	-0.767152391	0.151137075
26409	L	Map3k7	-0.464745464	0.203945793
12387	L	Ctnnb1	-0.311129298	0.61714199
30050	L	Fbxw2	-0.152552751	0.713475103
18472	L	Pafah1b1	-0.562820167	0.25404143
13017	L	Ctbp2	1.257318315	0.001044173
13016	L	Ctbp1	-0.637163817	0.123201969
18099	L	Nlk	-3.023132144	3.41E-17
21423	L	Tcf3	-0.194645852	0.588767479
21413	L	Tcf4	-0.088354022	0.807167564
21415	L	Tcf7l1	2.599514545	1.29E-21
21416	L	Tcf7l2	2.789832313	5.78E-27
18044	L	Nfya	-0.006026951	0.986346669
93960	L	Nkd1	-0.187501643	0.197478014
72293	L	Nkd2	-0.108888744	0.626746236
12914	L	Crebbp	-0.018468475	0.976758995
328572	L	Ep300	0.834378551	0.033604853
51792	L	Ppp2r1a	-0.765683685	0.173560812
73699	L	Ppp2r1b	0.445164531	0.161847138
71978	L	Ppp2r2a	-0.347979172	0.570183198
72930	L	Ppp2r2b	-0.284727731	0.118971157
269643	L	Ppp2r2c	-0.221644849	0.087683264
52432	L	Ppp2r2d	-0.538828497	0.208842051
19052	L	Ppp2ca	0.036065215	0.953367916
19053	L	Ppp2cb	-0.673438201	0.10389024
17869	L	Myc	1.273726428	7.97E-08
12443	L	Ccnd1	-0.71862115	0.033697011
12444	L	Ccnd2	6.984996377	6.62E-91
12445	L	Ccnd3	0.81965901	0.001167345
14283	L	Fosl1	0.218692759	0.148138164
16476	L	Jun	1.957852493	4.84E-17
12505	L	Cd44	0.580303006	0.014529681
12388	L	Ctnnd1	1.151847037	0.012600093
56805	L	Zbtb33	-0.377719866	0.189844714
22059	L	Trp53	-0.549048819	0.320653108
18996	L	Pou4f1	-0.18325354	0.199384341
20674	L	Sox2	1.262829738	3.41E-06
320145	L	Sp8	1.798383248	2.62E-09
